"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"2";"";"JP2E";"JP2";"JP1, JP2";"JUMPER";"";"";"";"";
"1";"";"LED1206";"LED-1206";"LED0";"LEDs";"";"";"";"";
"4";"";"MMBTA13LT1-NPN_DARL-SOT23-BEC";"SOT23-BEC";"T1, T2, T3, T4";"NPN Darlington Transistor";"";"";"";"";
"4";"10 0.1%";"R-EU_M1206";"M1206";"RUP1, RUP2, RUP3, RUP4";"RESISTOR, European symbol";"";"";"";"";
"4";"100";"R-EU_M1206";"M1206";"RF1, RF2, RF3, RF4";"RESISTOR, European symbol";"";"";"";"";
"4";"100 0.1%";"R-EU_M1206";"M1206";"RUP2_1, RUP2_2, RUP2_3, RUP2_4";"RESISTOR, European symbol";"";"";"";"";
"1";"100k";"R-EU_M1206";"M1206";"REF2";"RESISTOR, European symbol";"";"";"";"";
"7";"100n";"C-EUC1206";"C1206";"C1, C2, C3, C4, C5, C_MCP3424, C_TL072";"CAPACITOR, European symbol";"";"";"";"";
"8";"10k";"R-EU_M1206";"M1206";"DIV1, DIV2, DIV3, DIV4, DIV5, DIV6, DIV7, DIV8";"RESISTOR, European symbol";"";"";"";"";
"1";"10Âµ";"C-EUC1206";"C1206";"C_MCP1";"CAPACITOR, European symbol";"";"";"";"";
"1";"1K";"R-EU_M1206";"M1206";"RL0";"RESISTOR, European symbol";"";"";"";"";
"1";"200k";"R-EU_M1206";"M1206";"REF1";"RESISTOR, European symbol";"";"";"";"";
"4";"330n";"C-EUC1206";"C1206";"CF1, CF2, CF3, CF4";"CAPACITOR, European symbol";"";"";"";"";
"1";"80Ohm";"L-USL3216C";"L3216C";"FERRITE";"INDUCTOR, American symbol";"";"";"";"";
"8";"90.9 0.1%";"R-EU_M1206";"M1206";"RG1, RG2, RG3, RG4, RT_1, RT_2, RT_3, RT_4";"RESISTOR, European symbol";"";"";"";"";
"4";"AD8223";"AD620R";"SO8";"IC1, IC2, IC3, IC4";"Low Cost, Low Power, Instrumentation Amplifier";"";"AD620AR";"1464424";"05F7109";
"1";"MCP3424(SO14)";"MCP3424(SO14)";"14LDSOIC";"U$1";"";"";"";"";"";
"4";"PT100";"R-EU_M1206";"M1206";"PT100_1, PT100_2, PT100_3, PT100_4";"RESISTOR, European symbol";"";"";"";"";
"4";"PT1000";"R-EU_M1206";"M1206";"PT1K_1, PT1K_2, PT1K_3, PT1K_4";"RESISTOR, European symbol";"";"";"";"";
"2";"RJ12STRAIGHT-I2C";"RJ12STRAIGHT-I2C";"RJ12-STRAIGHT-I2C";"J1, J2";"CORCOM Modular RJ Jacks No Shield";"";"";"";"";
"1";"STARGND";"STARGND";"STAR";"U$2";"";"";"";"";"";
"1";"TL072D";"TL072D";"SO08";"IC6";"OP AMP";"";"";"";"";
